orderNumber,customerName,customerEmail,deliveryDate,totalAmount,currency,status,shippingAddress
SO-2024-0548,JetStream Aviation,orders@jetstreamaviation.com,2024-05-01,40764.46,USD,SHIPPED,"382 Victoria Rd, Boston, MA 02101, USA"
SO-2024-0549,Delta Systems,sales@deltasystems.com,2024-05-17,3884.65,USD,CONFIRMED,"835 River Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0550,Acme Corporation,admin@acmecorporation.com,2024-09-12,30950.09,EUR,SHIPPED,"189 Maple Dr, Austin, TX 73301, USA"
SO-2024-0551,BrightPath Labs,ops@brightpathlabs.com,2025-01-16,36921.73,USD,CONFIRMED,"286 Victoria Rd, Denver, CO 80201, USA"
SO-2024-0552,Apex Innovations,purchase@apexinnovations.com,2024-05-19,51701.77,CAD,DELIVERED,"483 Oak St, Los Angeles, CA 90001, USA"
SO-2024-0553,Ivory Tower Publishing,orders@ivorytowerpublishing.com,2024-04-23,44781.05,GBP,CONFIRMED,"466 Tech Park Rd, Singapore 048583, Singapore"
SO-2024-0554,Dynamo Sports,orders@dynamosports.com,2024-09-20,46158.96,SGD,DELIVERED,"569 Central Ave, Dubai 00000, UAE"
SO-2024-0555,Maple Creek Farms,admin@maplecreekfarms.com,2025-05-16,31656.85,USD,CONFIRMED,"557 Harbor Blvd, Los Angeles, CA 90001, USA"
SO-2024-0556,Lumen Lighting,sales@lumenlighting.com,2024-10-01,27211.62,USD,SHIPPED,"897 Innovation Dr, Dubai 00000, UAE"
SO-2024-0557,WildTrail Outdoors,sales@wildtrailoutdoors.com,2024-08-17,65605.90,EUR,PENDING,"361 Industrial Way, Manchester M1 1AA, UK"
SO-2024-0558,Orbit Digital,orders@orbitdigital.com,2024-12-07,85631.10,USD,PENDING,"481 Innovation Dr, San Francisco, CA 94105, USA"
SO-2024-0559,Vertex Analytics,procurement@vertexanalytics.com,2024-10-22,91444.31,GBP,PENDING,"652 High St, London EC1A 1BB, UK"
SO-2024-0560,JetStream Aviation,info@jetstreamaviation.com,2025-03-22,94985.64,INR,DELIVERED,"646 Harbor Blvd, Houston, TX 77001, USA"
SO-2024-0561,WildTrail Outdoors,orders@wildtrailoutdoors.com,2025-01-07,21159.72,AUD,DELIVERED,"136 Main St, Dubai 00000, UAE"
SO-2024-0562,Sunrise Retail,purchase@sunriseretail.com,2025-01-02,33213.76,USD,DELIVERED,"334 Industrial Way, Hyderabad, Telangana 500001, India"
SO-2024-0563,Delta Systems,sales@deltasystems.com,2025-03-31,57815.63,USD,DELIVERED,"293 Park Ave, Los Angeles, CA 90001, USA"
SO-2024-0564,CloudNine Services,ops@cloudnineservices.com,2025-04-30,7573.62,USD,CONFIRMED,"490 Tech Park Rd, Boston, MA 02101, USA"
SO-2024-0565,Cascade Energy,purchase@cascadeenergy.com,2024-11-24,55194.84,GBP,CONFIRMED,"931 King St, Boston, MA 02101, USA"
SO-2024-0566,Evergreen Foods,ops@evergreenfoods.com,2024-04-18,57934.61,INR,SHIPPED,"374 Innovation Dr, Mumbai, Maharashtra 400001, India"
SO-2024-0567,Global Traders Ltd,ops@globaltradersltd.com,2025-02-15,81181.23,JPY,SHIPPED,"66 High St, Paris 75001, France"
SO-2024-0568,Quantum Retail,admin@quantumretail.com,2024-08-25,31506.71,INR,CONFIRMED,"660 Victoria Rd, San Francisco, CA 94105, USA"
SO-2024-0569,PrimePath Consulting,admin@primepathconsulting.com,2024-12-08,73526.24,USD,CONFIRMED,"36 King St, Dubai 00000, UAE"
SO-2024-0570,Infoway Solutions,procurement@infowaysolutions.com,2024-11-17,1363.44,USD,CONFIRMED,"750 Enterprise Ln, Denver, CO 80201, USA"
SO-2024-0571,JetStream Aviation,supply@jetstreamaviation.com,2025-01-31,8162.59,USD,DELIVERED,"841 Business Ave, Chennai, Tamil Nadu 600001, India"
SO-2024-0572,Pacific Imports Co,supply@pacificimportsco.com,2025-05-22,64311.45,USD,CONFIRMED,"602 Harbor Blvd, Houston, TX 77001, USA"
SO-2024-0573,Ivory Tower Publishing,ops@ivorytowerpublishing.com,2024-08-26,41380.96,USD,DELIVERED,"705 King St, Boston, MA 02101, USA"
SO-2024-0574,Ivory Tower Publishing,orders@ivorytowerpublishing.com,2024-03-07,90279.95,USD,SHIPPED,"717 Business Ave, Seattle, WA 98101, USA"
SO-2024-0575,Keystone Construction,admin@keystoneconstruction.com,,83058.83,USD,CANCELLED,"453 Tech Park Rd, Manchester M1 1AA, UK"
SO-2024-0576,Harbor Marine,ops@harbormarine.com,,34639.71,USD,CANCELLED,"771 High St, Sydney, NSW 2000, Australia"
SO-2024-0577,Cascade Energy,supply@cascadeenergy.com,2025-05-16,75256.22,INR,SHIPPED,"698 High St, Denver, CO 80201, USA"
SO-2024-0578,Vanguard Motors,supply@vanguardmotors.com,2024-09-30,76166.07,EUR,SHIPPED,"774 River Rd, London EC1A 1BB, UK"
SO-2024-0579,Harbor Marine,procurement@harbormarine.com,2024-12-16,3022.11,USD,DELIVERED,"394 Oak St, Los Angeles, CA 90001, USA"
SO-2024-0580,Zenith Electronics,sales@zenithelectronics.com,2024-09-18,65247.03,INR,DELIVERED,"475 River Rd, Paris 75001, France"
SO-2024-0581,Pinnacle Group,supply@pinnaclegroup.com,2024-02-05,49761.41,USD,CONFIRMED,"416 Industrial Way, Miami, FL 33101, USA"
SO-2024-0582,Sapphire Financial,sales@sapphirefinancial.com,,20600.28,JPY,CANCELLED,"440 Tech Park Rd, Munich 80331, Germany"
SO-2024-0583,Harbor Marine,orders@harbormarine.com,2025-04-20,36032.83,USD,DELIVERED,"223 Warehouse Rd, Toronto, ON M5A 1A1, Canada"
SO-2024-0584,MegaTech Inc,procurement@megatechinc.com,2025-04-26,73570.31,USD,PENDING,"297 Oak St, Munich 80331, Germany"
SO-2024-0585,NovaStar Tech,info@novastartech.com,2024-12-24,87792.16,INR,DELIVERED,"162 Innovation Dr, Los Angeles, CA 90001, USA"
SO-2024-0586,Trident Pharma,procurement@tridentpharma.com,2024-07-04,66731.28,USD,PENDING,"210 High St, Denver, CO 80201, USA"
SO-2024-0587,BlueWave Logistics,admin@bluewavelogistics.com,2025-03-03,27910.85,USD,DELIVERED,"540 Main St, Houston, TX 77001, USA"
SO-2024-0588,WildTrail Outdoors,ops@wildtrailoutdoors.com,2024-10-05,87887.43,GBP,CONFIRMED,"29 Industrial Way, Munich 80331, Germany"
SO-2024-0589,Sunrise Retail,ops@sunriseretail.com,2024-05-02,65355.46,USD,DELIVERED,"136 Victoria Rd, Boston, MA 02101, USA"
SO-2024-0590,CoreBridge Solutions,purchase@corebridgesolutions.com,2024-05-17,90299.80,CAD,DELIVERED,"625 River Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0591,Lumen Lighting,ops@lumenlighting.com,2024-12-13,10184.74,USD,DELIVERED,"906 Main St, Bangalore, Karnataka 560001, India"
SO-2024-0592,Evergreen Foods,ops@evergreenfoods.com,,73815.59,GBP,CANCELLED,"317 Queen St, Houston, TX 77001, USA"
SO-2024-0593,Infoway Solutions,orders@infowaysolutions.com,2025-05-06,72850.87,USD,SHIPPED,"607 Innovation Dr, Manchester M1 1AA, UK"
SO-2024-0594,Neptune Fisheries,supply@neptunefisheries.com,2024-06-10,74172.79,INR,PENDING,"686 Oak St, Sydney, NSW 2000, Australia"
SO-2024-0595,Beacon Software,procurement@beaconsoftware.com,2024-08-22,16268.77,EUR,SHIPPED,"382 King St, Berlin 10115, Germany"
SO-2024-0596,PrimePath Consulting,ops@primepathconsulting.com,2024-12-14,32185.89,USD,CONFIRMED,"502 Park Ave, Denver, CO 80201, USA"
SO-2024-0597,Phoenix Recycling,info@phoenixrecycling.com,2024-06-14,88314.74,USD,SHIPPED,"623 High St, Seattle, WA 98101, USA"
SO-2024-0598,Vanguard Motors,admin@vanguardmotors.com,2025-01-08,60040.89,INR,DELIVERED,"85 Commerce Blvd, Dubai 00000, UAE"
SO-2024-0599,RedOak Industries,purchase@redoakindustries.com,2024-03-30,92780.97,USD,CONFIRMED,"630 Central Ave, Delhi, Delhi 110001, India"
SO-2024-0600,Eclipse Media,procurement@eclipsemedia.com,2024-04-10,30391.57,CAD,CONFIRMED,"700 Commerce Blvd, Berlin 10115, Germany"
SO-2024-0601,Vertex Analytics,purchase@vertexanalytics.com,2024-08-20,9408.29,USD,CONFIRMED,"82 Maple Dr, Seattle, WA 98101, USA"
SO-2024-0602,Global Traders Ltd,orders@globaltradersltd.com,2024-07-20,15772.06,CAD,DELIVERED,"565 Main St, Tokyo 100-0001, Japan"
SO-2024-0603,Orbit Digital,ops@orbitdigital.com,,53679.01,EUR,CANCELLED,"365 Station Rd, Delhi, Delhi 110001, India"
SO-2024-0604,Horizon Textiles,supply@horizontextiles.com,,18527.95,USD,CANCELLED,"403 High St, Bangalore, Karnataka 560001, India"
SO-2024-0605,PrimePath Consulting,sales@primepathconsulting.com,2025-01-20,20185.35,JPY,CONFIRMED,"83 Warehouse Rd, Los Angeles, CA 90001, USA"
SO-2024-0606,Falcon Aerospace,procurement@falconaerospace.com,2025-01-04,75522.29,GBP,DELIVERED,"467 Maple Dr, Paris 75001, France"
SO-2024-0607,Infoway Solutions,supply@infowaysolutions.com,2024-05-27,31597.71,GBP,DELIVERED,"279 Maple Dr, Seattle, WA 98101, USA"
SO-2024-0608,Frontier Agriculture,supply@frontieragriculture.com,2024-05-02,36920.14,EUR,PENDING,"512 River Rd, Berlin 10115, Germany"
SO-2024-0609,JetStream Aviation,orders@jetstreamaviation.com,2025-05-25,90732.43,EUR,SHIPPED,"19 Tech Park Rd, Toronto, ON M5A 1A1, Canada"
SO-2024-0610,Sapphire Financial,info@sapphirefinancial.com,2024-12-13,3627.61,CAD,DELIVERED,"543 Maple Dr, Delhi, Delhi 110001, India"
SO-2024-0611,Acme Corporation,sales@acmecorporation.com,2024-08-28,20885.96,EUR,SHIPPED,"403 Enterprise Ln, San Francisco, CA 94105, USA"
SO-2024-0612,MegaTech Inc,ops@megatechinc.com,2024-10-18,95668.93,CAD,SHIPPED,"366 Market St, Chennai, Tamil Nadu 600001, India"
SO-2024-0613,TechStart India,sales@techstartindia.com,2024-05-24,29377.56,GBP,PENDING,"582 Market St, Manchester M1 1AA, UK"
SO-2024-0614,Pinnacle Group,sales@pinnaclegroup.com,2025-03-15,95972.71,JPY,DELIVERED,"466 Industrial Way, Dubai 00000, UAE"
SO-2024-0615,Vanguard Motors,supply@vanguardmotors.com,2024-12-27,27357.38,USD,DELIVERED,"833 Warehouse Rd, Paris 75001, France"
SO-2024-0616,Harbor Marine,info@harbormarine.com,2025-04-01,32669.84,INR,CONFIRMED,"270 Commerce Blvd, Hyderabad, Telangana 500001, India"
SO-2024-0617,WildTrail Outdoors,purchase@wildtrailoutdoors.com,2025-06-15,23832.45,USD,PENDING,"876 Tech Park Rd, Delhi, Delhi 110001, India"
SO-2024-0618,Global Traders Ltd,purchase@globaltradersltd.com,2024-10-15,77414.21,USD,SHIPPED,"158 Central Ave, Seattle, WA 98101, USA"
SO-2024-0619,TechStart India,info@techstartindia.com,2025-01-17,97092.42,GBP,PENDING,"908 Queen St, Bangalore, Karnataka 560001, India"
SO-2024-0620,Maple Creek Farms,info@maplecreekfarms.com,2025-02-06,730.54,AUD,DELIVERED,"600 Warehouse Rd, San Francisco, CA 94105, USA"
SO-2024-0621,Infoway Solutions,admin@infowaysolutions.com,2025-06-17,21720.35,CAD,SHIPPED,"716 Market St, Berlin 10115, Germany"
SO-2024-0622,Phoenix Recycling,purchase@phoenixrecycling.com,2024-03-01,13405.10,GBP,PENDING,"957 River Rd, Seattle, WA 98101, USA"
SO-2024-0623,JetStream Aviation,sales@jetstreamaviation.com,2024-07-02,24549.47,GBP,PENDING,"332 High St, Delhi, Delhi 110001, India"
SO-2024-0624,NovaStar Tech,ops@novastartech.com,2024-10-29,73534.12,EUR,DELIVERED,"841 Maple Dr, Berlin 10115, Germany"
SO-2024-0625,MegaTech Inc,info@megatechinc.com,2024-04-02,17724.42,USD,CONFIRMED,"590 Commerce Blvd, Chennai, Tamil Nadu 600001, India"
SO-2024-0626,Horizon Textiles,admin@horizontextiles.com,2024-12-30,23334.44,EUR,SHIPPED,"79 Station Rd, London EC1A 1BB, UK"
SO-2024-0627,Pinnacle Group,purchase@pinnaclegroup.com,2024-07-20,11686.06,USD,CONFIRMED,"173 High St, San Francisco, CA 94105, USA"
SO-2024-0628,Sapphire Financial,ops@sapphirefinancial.com,2024-05-20,97742.87,AUD,PENDING,"209 Station Rd, London EC1A 1BB, UK"
SO-2024-0629,Eclipse Media,purchase@eclipsemedia.com,2024-02-05,58029.29,EUR,CONFIRMED,"66 High St, Chennai, Tamil Nadu 600001, India"
SO-2024-0630,MegaTech Inc,admin@megatechinc.com,2024-06-23,48925.43,USD,DELIVERED,"871 Park Ave, London EC1A 1BB, UK"
SO-2024-0631,BlueWave Logistics,ops@bluewavelogistics.com,2024-08-22,17238.92,JPY,DELIVERED,"210 River Rd, Tokyo 100-0001, Japan"
SO-2024-0632,Dynamo Sports,procurement@dynamosports.com,2024-08-22,10625.97,INR,CONFIRMED,"404 River Rd, Denver, CO 80201, USA"
SO-2024-0633,Phoenix Recycling,info@phoenixrecycling.com,2025-01-26,85512.74,USD,PENDING,"28 Station Rd, London EC1A 1BB, UK"
SO-2024-0634,Trident Pharma,supply@tridentpharma.com,2024-05-21,29028.26,USD,CONFIRMED,"369 River Rd, London EC1A 1BB, UK"
SO-2024-0635,ClearView Optics,supply@clearviewoptics.com,2025-05-02,14523.90,INR,DELIVERED,"709 Central Ave, Bangalore, Karnataka 560001, India"
SO-2024-0636,Pinnacle Group,supply@pinnaclegroup.com,2024-11-22,63410.67,EUR,PENDING,"785 Main St, Hyderabad, Telangana 500001, India"
SO-2024-0637,GreenLeaf Organics,ops@greenleaforganics.com,2024-04-08,85917.06,USD,DELIVERED,"259 Warehouse Rd, Los Angeles, CA 90001, USA"
SO-2024-0638,Cascade Energy,sales@cascadeenergy.com,,83176.79,USD,CANCELLED,"810 Oak St, London EC1A 1BB, UK"
SO-2024-0639,Nordic Supplies AB,supply@nordicsuppliesab.com,2024-09-15,19814.49,EUR,PENDING,"356 Tech Park Rd, Denver, CO 80201, USA"
SO-2024-0640,Delta Systems,ops@deltasystems.com,2025-02-12,25747.67,USD,DELIVERED,"75 Commerce Blvd, Toronto, ON M5A 1A1, Canada"
SO-2024-0641,Acme Corporation,admin@acmecorporation.com,2024-01-16,17685.47,USD,SHIPPED,"829 Queen St, Berlin 10115, Germany"
SO-2024-0642,TechStart India,admin@techstartindia.com,2025-05-02,31875.67,USD,CONFIRMED,"983 Commerce Blvd, Delhi, Delhi 110001, India"
SO-2024-0643,Zenith Electronics,info@zenithelectronics.com,2024-03-23,97504.40,USD,PENDING,"40 Innovation Dr, Houston, TX 77001, USA"
SO-2024-0644,Falcon Aerospace,sales@falconaerospace.com,2025-05-16,22473.54,EUR,PENDING,"808 High St, Sydney, NSW 2000, Australia"
SO-2024-0645,Delta Systems,ops@deltasystems.com,2025-06-17,7001.06,USD,PENDING,"290 Queen St, Delhi, Delhi 110001, India"
SO-2024-0646,Lumen Lighting,purchase@lumenlighting.com,2024-04-13,86649.12,USD,PENDING,"869 Industrial Way, Tokyo 100-0001, Japan"
SO-2024-0647,Orbit Digital,orders@orbitdigital.com,2024-07-23,20760.10,USD,DELIVERED,"628 Station Rd, Dubai 00000, UAE"
SO-2024-0648,Delta Systems,supply@deltasystems.com,2024-07-19,31995.18,SGD,DELIVERED,"292 Commerce Blvd, Singapore 048583, Singapore"
SO-2024-0649,CloudNine Services,supply@cloudnineservices.com,2024-11-29,55445.60,AUD,CONFIRMED,"26 Harbor Blvd, Delhi, Delhi 110001, India"
SO-2024-0650,NovaStar Tech,purchase@novastartech.com,2024-02-28,88353.21,GBP,DELIVERED,"247 Park Ave, Munich 80331, Germany"
SO-2024-0651,Harbor Marine,supply@harbormarine.com,2025-02-15,87007.99,USD,PENDING,"606 Oak St, Manchester M1 1AA, UK"
SO-2024-0652,JetStream Aviation,orders@jetstreamaviation.com,2025-05-05,57267.91,GBP,CONFIRMED,"787 Central Ave, Paris 75001, France"
SO-2024-0653,Mosaic Designs,orders@mosaicdesigns.com,2024-04-09,50486.61,SGD,DELIVERED,"447 Warehouse Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0654,Global Traders Ltd,admin@globaltradersltd.com,2024-01-19,43220.22,EUR,DELIVERED,"367 Oak St, Seattle, WA 98101, USA"
SO-2024-0655,BlueWave Logistics,procurement@bluewavelogistics.com,2025-02-08,68771.60,USD,SHIPPED,"376 Station Rd, Paris 75001, France"
SO-2024-0656,Keystone Construction,purchase@keystoneconstruction.com,2024-04-10,35520.38,INR,DELIVERED,"246 Innovation Dr, Paris 75001, France"
SO-2024-0657,Ivory Tower Publishing,sales@ivorytowerpublishing.com,2024-08-22,58395.81,USD,DELIVERED,"996 Victoria Rd, San Francisco, CA 94105, USA"
SO-2024-0658,Lumen Lighting,orders@lumenlighting.com,2024-03-13,35693.80,EUR,PENDING,"278 Park Ave, Houston, TX 77001, USA"
SO-2024-0659,Pacific Imports Co,info@pacificimportsco.com,2025-04-01,52323.09,CAD,CONFIRMED,"989 Harbor Blvd, Bangalore, Karnataka 560001, India"
SO-2024-0660,Falcon Aerospace,ops@falconaerospace.com,2024-04-27,61003.48,USD,PENDING,"247 Innovation Dr, New York, NY 10001, USA"
SO-2024-0661,Phoenix Recycling,ops@phoenixrecycling.com,2025-03-25,59406.42,EUR,DELIVERED,"560 Queen St, Denver, CO 80201, USA"
SO-2024-0662,CloudNine Services,supply@cloudnineservices.com,2024-05-10,29213.92,USD,SHIPPED,"755 Station Rd, Singapore 048583, Singapore"
SO-2024-0663,Dynamo Sports,admin@dynamosports.com,2025-05-27,2293.81,GBP,SHIPPED,"803 Innovation Dr, Paris 75001, France"
SO-2024-0664,Delta Systems,orders@deltasystems.com,2024-12-19,72925.21,CAD,DELIVERED,"237 Victoria Rd, Seattle, WA 98101, USA"
SO-2024-0665,PrimePath Consulting,orders@primepathconsulting.com,2024-12-21,25457.35,EUR,SHIPPED,"853 Business Ave, Tokyo 100-0001, Japan"
SO-2024-0666,Atlas Engineering,purchase@atlasengineering.com,2024-10-25,39459.79,INR,SHIPPED,"493 High St, Chicago, IL 60601, USA"
SO-2024-0667,CoreBridge Solutions,supply@corebridgesolutions.com,2024-11-12,29052.14,EUR,DELIVERED,"932 Station Rd, Berlin 10115, Germany"
SO-2024-0668,GreenLeaf Organics,info@greenleaforganics.com,2025-02-18,49461.68,AUD,DELIVERED,"17 Commerce Blvd, Los Angeles, CA 90001, USA"
SO-2024-0669,Acme Corporation,info@acmecorporation.com,2024-10-10,87937.07,EUR,CONFIRMED,"547 Main St, Mumbai, Maharashtra 400001, India"
SO-2024-0670,Dynamo Sports,purchase@dynamosports.com,2024-01-28,71689.55,JPY,SHIPPED,"774 Warehouse Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0671,JetStream Aviation,orders@jetstreamaviation.com,2024-08-19,16753.62,JPY,SHIPPED,"228 Commerce Blvd, London EC1A 1BB, UK"
SO-2024-0672,MegaTech Inc,ops@megatechinc.com,2025-03-08,95319.09,USD,SHIPPED,"985 Queen St, Denver, CO 80201, USA"
SO-2024-0673,CloudNine Services,purchase@cloudnineservices.com,2024-06-05,63994.86,USD,DELIVERED,"246 Oak St, Manchester M1 1AA, UK"
SO-2024-0674,Cascade Energy,purchase@cascadeenergy.com,2025-02-03,2550.23,GBP,DELIVERED,"336 Business Ave, Seattle, WA 98101, USA"
SO-2024-0675,Global Traders Ltd,info@globaltradersltd.com,2025-05-12,63933.49,USD,CONFIRMED,"485 Victoria Rd, Sydney, NSW 2000, Australia"
SO-2024-0676,MegaTech Inc,info@megatechinc.com,2025-01-13,2625.06,INR,CONFIRMED,"790 Commerce Blvd, Sydney, NSW 2000, Australia"
SO-2024-0677,MegaTech Inc,procurement@megatechinc.com,2024-03-14,73288.72,USD,CONFIRMED,"521 King St, Paris 75001, France"
SO-2024-0678,Vanguard Motors,purchase@vanguardmotors.com,2024-11-03,41817.68,AUD,DELIVERED,"870 Tech Park Rd, Seattle, WA 98101, USA"
SO-2024-0679,GreenLeaf Organics,ops@greenleaforganics.com,2025-02-15,83767.62,CAD,DELIVERED,"460 Central Ave, Houston, TX 77001, USA"
SO-2024-0680,Harbor Marine,info@harbormarine.com,2025-01-21,4889.51,AUD,DELIVERED,"754 Market St, Seattle, WA 98101, USA"
SO-2024-0681,BrightPath Labs,admin@brightpathlabs.com,2025-01-10,53734.09,USD,SHIPPED,"840 King St, London EC1A 1BB, UK"
SO-2024-0682,NovaStar Tech,sales@novastartech.com,,49213.89,USD,CANCELLED,"618 Enterprise Ln, Hyderabad, Telangana 500001, India"
SO-2024-0683,GreenLeaf Organics,ops@greenleaforganics.com,2024-03-13,28775.70,USD,SHIPPED,"80 Queen St, Mumbai, Maharashtra 400001, India"
SO-2024-0684,BrightPath Labs,info@brightpathlabs.com,2025-04-18,72413.11,USD,CONFIRMED,"364 Business Ave, Chennai, Tamil Nadu 600001, India"
SO-2024-0685,Frontier Agriculture,purchase@frontieragriculture.com,2025-01-30,41487.19,GBP,DELIVERED,"642 Innovation Dr, Paris 75001, France"
SO-2024-0686,BrightPath Labs,orders@brightpathlabs.com,2025-05-15,95728.05,USD,SHIPPED,"887 Main St, Tokyo 100-0001, Japan"
SO-2024-0687,MegaTech Inc,purchase@megatechinc.com,2024-03-10,8098.02,USD,SHIPPED,"198 Park Ave, New York, NY 10001, USA"
SO-2024-0688,Pinnacle Group,ops@pinnaclegroup.com,2024-05-05,17825.41,SGD,PENDING,"94 River Rd, Miami, FL 33101, USA"
SO-2024-0689,Neptune Fisheries,ops@neptunefisheries.com,2024-09-14,40260.68,USD,CONFIRMED,"606 Central Ave, Denver, CO 80201, USA"
SO-2024-0690,Pinnacle Group,info@pinnaclegroup.com,2024-01-23,37945.58,EUR,SHIPPED,"207 Queen St, London EC1A 1BB, UK"
SO-2024-0691,Vanguard Motors,admin@vanguardmotors.com,2024-09-02,56793.51,USD,SHIPPED,"779 River Rd, Paris 75001, France"
SO-2024-0692,TechStart India,sales@techstartindia.com,2025-05-16,15229.29,CAD,SHIPPED,"71 Park Ave, Houston, TX 77001, USA"
SO-2024-0693,Cascade Energy,procurement@cascadeenergy.com,,33351.68,USD,CANCELLED,"371 Enterprise Ln, Paris 75001, France"
SO-2024-0694,Eclipse Media,purchase@eclipsemedia.com,2024-04-30,74873.13,USD,DELIVERED,"925 Commerce Blvd, Dubai 00000, UAE"
SO-2024-0695,BlueWave Logistics,procurement@bluewavelogistics.com,2024-06-24,22608.21,JPY,CONFIRMED,"860 Queen St, Houston, TX 77001, USA"
SO-2024-0696,Evergreen Foods,info@evergreenfoods.com,2025-06-24,28616.51,USD,DELIVERED,"469 Victoria Rd, Chennai, Tamil Nadu 600001, India"
SO-2024-0697,Ivory Tower Publishing,purchase@ivorytowerpublishing.com,2024-04-17,36212.81,EUR,CONFIRMED,"622 Maple Dr, Boston, MA 02101, USA"
SO-2024-0698,RedOak Industries,ops@redoakindustries.com,2024-08-28,3463.35,EUR,PENDING,"49 Enterprise Ln, Paris 75001, France"
SO-2024-0699,BrightPath Labs,sales@brightpathlabs.com,2025-04-14,49078.58,GBP,CONFIRMED,"640 River Rd, Singapore 048583, Singapore"
SO-2024-0700,Atlas Engineering,supply@atlasengineering.com,2025-02-15,61161.79,GBP,SHIPPED,"728 King St, Los Angeles, CA 90001, USA"
SO-2024-0701,RedOak Industries,purchase@redoakindustries.com,2024-02-27,10196.83,USD,DELIVERED,"757 Innovation Dr, Mumbai, Maharashtra 400001, India"
SO-2024-0702,WildTrail Outdoors,sales@wildtrailoutdoors.com,2024-07-29,8245.55,USD,PENDING,"369 Industrial Way, San Francisco, CA 94105, USA"
SO-2024-0703,CoreBridge Solutions,sales@corebridgesolutions.com,2024-07-07,29827.02,USD,SHIPPED,"928 Warehouse Rd, Los Angeles, CA 90001, USA"
SO-2024-0704,Vanguard Motors,supply@vanguardmotors.com,2024-10-10,10347.39,INR,SHIPPED,"790 King St, Boston, MA 02101, USA"
SO-2024-0705,MegaTech Inc,supply@megatechinc.com,2025-01-27,90443.08,INR,SHIPPED,"90 Central Ave, Houston, TX 77001, USA"
SO-2024-0706,TechStart India,info@techstartindia.com,2024-09-27,49233.30,INR,DELIVERED,"911 Oak St, Toronto, ON M5A 1A1, Canada"
SO-2024-0707,CoreBridge Solutions,procurement@corebridgesolutions.com,2024-09-22,94665.78,USD,CONFIRMED,"210 Maple Dr, Hyderabad, Telangana 500001, India"
SO-2024-0708,Lumen Lighting,admin@lumenlighting.com,2025-06-29,16978.14,USD,DELIVERED,"773 High St, Boston, MA 02101, USA"
SO-2024-0709,CloudNine Services,sales@cloudnineservices.com,2025-03-03,61451.78,EUR,SHIPPED,"900 Tech Park Rd, Mumbai, Maharashtra 400001, India"
SO-2024-0710,Ironclad Security,sales@ironcladsecurity.com,2024-09-26,58485.01,SGD,DELIVERED,"322 Warehouse Rd, Singapore 048583, Singapore"
SO-2024-0711,Atlas Engineering,purchase@atlasengineering.com,2024-12-07,37179.28,EUR,PENDING,"510 Warehouse Rd, Hyderabad, Telangana 500001, India"
SO-2024-0712,Maple Creek Farms,orders@maplecreekfarms.com,2025-04-12,40584.92,EUR,DELIVERED,"695 Maple Dr, Toronto, ON M5A 1A1, Canada"
SO-2024-0713,Ironclad Security,purchase@ironcladsecurity.com,2025-01-17,15508.21,USD,DELIVERED,"879 Park Ave, Miami, FL 33101, USA"
SO-2024-0714,GreenLeaf Organics,sales@greenleaforganics.com,2024-03-31,29177.51,USD,PENDING,"533 Park Ave, Paris 75001, France"
SO-2024-0715,Evergreen Foods,sales@evergreenfoods.com,2024-06-03,56958.21,USD,DELIVERED,"371 Central Ave, Munich 80331, Germany"
SO-2024-0716,Global Traders Ltd,info@globaltradersltd.com,2024-02-17,32887.48,USD,SHIPPED,"262 Maple Dr, New York, NY 10001, USA"
SO-2024-0717,Eclipse Media,sales@eclipsemedia.com,2025-03-16,11049.49,JPY,SHIPPED,"314 Central Ave, Boston, MA 02101, USA"
SO-2024-0718,BrightPath Labs,ops@brightpathlabs.com,2025-02-24,81720.07,USD,DELIVERED,"913 Enterprise Ln, Toronto, ON M5A 1A1, Canada"
SO-2024-0719,Ivory Tower Publishing,supply@ivorytowerpublishing.com,2025-05-12,50586.70,USD,DELIVERED,"928 Victoria Rd, Seattle, WA 98101, USA"
SO-2024-0720,BrightPath Labs,sales@brightpathlabs.com,,19590.22,USD,CANCELLED,"570 Maple Dr, New York, NY 10001, USA"
SO-2024-0721,BlueWave Logistics,admin@bluewavelogistics.com,2025-01-26,54767.93,USD,DELIVERED,"186 Central Ave, London EC1A 1BB, UK"
SO-2024-0722,Frontier Agriculture,admin@frontieragriculture.com,2024-07-15,33171.44,GBP,CONFIRMED,"430 King St, Mumbai, Maharashtra 400001, India"
SO-2024-0723,Lumen Lighting,info@lumenlighting.com,2024-07-02,74373.67,EUR,PENDING,"271 River Rd, Singapore 048583, Singapore"
SO-2024-0724,MegaTech Inc,ops@megatechinc.com,2024-12-05,61927.25,USD,SHIPPED,"423 Business Ave, Seattle, WA 98101, USA"
SO-2024-0725,Ironclad Security,admin@ironcladsecurity.com,2024-05-09,13248.34,CAD,DELIVERED,"873 Maple Dr, Berlin 10115, Germany"
SO-2024-0726,Lumen Lighting,orders@lumenlighting.com,2024-06-22,86813.78,EUR,CONFIRMED,"370 Innovation Dr, Mumbai, Maharashtra 400001, India"
SO-2024-0727,Sunrise Retail,procurement@sunriseretail.com,2024-03-19,78309.49,USD,PENDING,"247 Maple Dr, San Francisco, CA 94105, USA"
